title,description,Course curriculum,About the Instructor,combined_text
Coding a ChatGPT-style Language Model from Scratch in PyTorch,"Master the art of building a ChatGPT-style language model from scratch with PyTorch. In this course, you'll explore essential NLP concepts, implement transformers, and create a decoder-only architecture step-by-step. Guided by expert tutorials, gain practical skills to develop advanced AI models tailored for real-world applications.","Introduction
                    
                    
                      



Importing
                    
                    
                      



Creating Inputs & Lables
                    
                    
                      



Position Encoding
                    
                    
                      



Masked Self-Attention
                    
                    
                      



Putting Pieces Together 
                    
                    
                      



Creating Decoder Only Transformer","About the Instructor
Dr. Joshua Starmer - Co-Founder and CEO of Statsquest


          Dr. Joshua Starmer, co-founder and CEO of Statsquest, is a visionary in Artificial Intelligence and Data Science, renowned for transforming complex concepts into practical, actionable insights. With a Ph.D. in Biomathematics and a distinguished career spanning academia and industry, his engaging presentations empower and inspire learners to excel in the ever-evolving world of AI and analytics.
        

LinkedIn","Coding a ChatGPT-style Language Model from Scratch in PyTorch Master the art of building a ChatGPT-style language model from scratch with PyTorch. In this course, you'll explore essential NLP concepts, implement transformers, and create a decoder-only architecture step-by-step. Guided by expert tutorials, gain practical skills to develop advanced AI models tailored for real-world applications. Introduction
                    
                    
                      



Importing
                    
                    
                      



Creating Inputs & Lables
                    
                    
                      



Position Encoding
                    
                    
                      



Masked Self-Attention
                    
                    
                      



Putting Pieces Together 
                    
                    
                      



Creating Decoder Only Transformer About the Instructor
Dr. Joshua Starmer - Co-Founder and CEO of Statsquest


          Dr. Joshua Starmer, co-founder and CEO of Statsquest, is a visionary in Artificial Intelligence and Data Science, renowned for transforming complex concepts into practical, actionable insights. With a Ph.D. in Biomathematics and a distinguished career spanning academia and industry, his engaging presentations empower and inspire learners to excel in the ever-evolving world of AI and analytics.
        

LinkedIn"
Mastering Multilingual GenAI Open-Weights for Indic Languages,"Mastering Multilingual GenAI – Open-Weights for Indic Languages"" is a course designed to equip you with the knowledge to develop state-of-the-art multilingual AI models using open-weight architectures. Focusing on low-resource languages, particularly Indic languages, the course covers essential topics like multilingual AI training, instruction fine-tuning, model building, and performance evaluation.","Introduction 
                    
                    
                      



Importance of Multilingual
                    
                    
                      



Training for Multilingual Gen AI
                    
                    
                      



Instruction Fine-Tuning Data for Multilingual
                    
                    
                      



Measuring Performance for Multilingual
                    
                    
                      



Building a Model
                    
                    
                      



Human Preferences
                    
                    
                      



Curse of Multilinguality
                    
                    
                      



Coding Hands-On","About the Instructor
Viraat Aryabumi - Research Scholar at Cohere for AI


          Viraat is a Research Scholar at Cohere for AI, where he contributed to the Aya Project and Aya-101 model. He previously led Machine Learning at Aiara and was a Machine Learning Scientist at Amazon. He holds a Master's in AI from the University of Edinburgh.
        

LinkedIn","Mastering Multilingual GenAI Open-Weights for Indic Languages Mastering Multilingual GenAI – Open-Weights for Indic Languages"" is a course designed to equip you with the knowledge to develop state-of-the-art multilingual AI models using open-weight architectures. Focusing on low-resource languages, particularly Indic languages, the course covers essential topics like multilingual AI training, instruction fine-tuning, model building, and performance evaluation. Introduction 
                    
                    
                      



Importance of Multilingual
                    
                    
                      



Training for Multilingual Gen AI
                    
                    
                      



Instruction Fine-Tuning Data for Multilingual
                    
                    
                      



Measuring Performance for Multilingual
                    
                    
                      



Building a Model
                    
                    
                      



Human Preferences
                    
                    
                      



Curse of Multilinguality
                    
                    
                      



Coding Hands-On About the Instructor
Viraat Aryabumi - Research Scholar at Cohere for AI


          Viraat is a Research Scholar at Cohere for AI, where he contributed to the Aya Project and Aya-101 model. He previously led Machine Learning at Aiara and was a Machine Learning Scientist at Amazon. He holds a Master's in AI from the University of Edinburgh.
        

LinkedIn"
Learning Autonomous Driving Behaviors with LLMs & RL,"This course dives into the development of autonomous driving behaviors using Reinforcement Learning (RL) and Large Language Models (LLMs). You’ll explore how RL agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions. The course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improving the interpretability of AI decisions. Through practical projects, you will design RL agents using techniques like Deep Q-Networks (DQN), experience replay, and integrate LLMs to enhance decision-making.","Introduction
                    
                    
                      



Evolution RL
                    
                    
                      



Understanding RL
                    
                    
                      



Challenges with RL
                    
                    
                      



Approach to the Problem Statement
                    
                    
                      



Hands-On: Learning Autonomous Driving Behaviors with LLMs & RL","About the Instructor
Mayank Baranwal - Senior Scientist at TCS Research | Adjunct Professor at IITB | INAE Young Associate | UIUC | IITK


          Mayank Baranwal is a Senior Scientist at Tata Consultancy Services (TCS) Research, Mumbai, and an Adjunct Faculty at IIT Bombay. He holds a PhD in Mechanical Science and Engineering from the University of Illinois, Urbana-Champaign (UIUC). His research focuses on optimization, control, and network systems with applications in supply chains, power networks, and deep learning. He has received several accolades, including the Young Scientist Award (2022) and the Gold Award for Best Smart Technology in Electricity Transmission (2023).
        

LinkedIn","Learning Autonomous Driving Behaviors with LLMs & RL This course dives into the development of autonomous driving behaviors using Reinforcement Learning (RL) and Large Language Models (LLMs). You’ll explore how RL agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions. The course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improving the interpretability of AI decisions. Through practical projects, you will design RL agents using techniques like Deep Q-Networks (DQN), experience replay, and integrate LLMs to enhance decision-making. Introduction
                    
                    
                      



Evolution RL
                    
                    
                      



Understanding RL
                    
                    
                      



Challenges with RL
                    
                    
                      



Approach to the Problem Statement
                    
                    
                      



Hands-On: Learning Autonomous Driving Behaviors with LLMs & RL About the Instructor
Mayank Baranwal - Senior Scientist at TCS Research | Adjunct Professor at IITB | INAE Young Associate | UIUC | IITK


          Mayank Baranwal is a Senior Scientist at Tata Consultancy Services (TCS) Research, Mumbai, and an Adjunct Faculty at IIT Bombay. He holds a PhD in Mechanical Science and Engineering from the University of Illinois, Urbana-Champaign (UIUC). His research focuses on optimization, control, and network systems with applications in supply chains, power networks, and deep learning. He has received several accolades, including the Young Scientist Award (2022) and the Gold Award for Best Smart Technology in Electricity Transmission (2023).
        

LinkedIn"
GenAI Applied to Quantitative Finance: For Control Implementation,"This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.","Introduction
                    
                    
                      



Overview
                    
                    
                      



Problem Definition: Commodity Price Prediction
                    
                    
                      



Architecture
                    
                    
                      



Hands-On",No instructor available,"GenAI Applied to Quantitative Finance: For Control Implementation This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals. Introduction
                    
                    
                      



Overview
                    
                    
                      



Problem Definition: Commodity Price Prediction
                    
                    
                      



Architecture
                    
                    
                      



Hands-On No instructor available"
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.","Introduction
                    
                    
                      



Resources
                    
                    
                      



Technique to Increase Accuracy
                    
                    
                      



Training Speed and Cost Optimization
                    
                    
                      



Inference Speed and Cost Optimization
                    
                    
                      



Scale","Instructor
Kartik Nighania - MLOps Engineer at Typewise|Certified AWS Cloud and Kubernetes Engineer 


          Kartik Nighania, an MLOps Engineer at Typewise, brings over seven years of AI experience across computer vision, NLP, and DevOps. Formerly Head of Engineering at Pibit.ai, he led AI-driven automation and infrastructure scaling. His expertise in CI/CD pipelines was honed at HSBC Technology, and his academic work includes AI publications and projects like ML-driven crop health detection.
        

LinkedIn","Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions. Introduction
                    
                    
                      



Resources
                    
                    
                      



Technique to Increase Accuracy
                    
                    
                      



Training Speed and Cost Optimization
                    
                    
                      



Inference Speed and Cost Optimization
                    
                    
                      



Scale Instructor
Kartik Nighania - MLOps Engineer at Typewise|Certified AWS Cloud and Kubernetes Engineer 


          Kartik Nighania, an MLOps Engineer at Typewise, brings over seven years of AI experience across computer vision, NLP, and DevOps. Formerly Head of Engineering at Pibit.ai, he led AI-driven automation and infrastructure scaling. His expertise in CI/CD pipelines was honed at HSBC Technology, and his academic work includes AI publications and projects like ML-driven crop health detection.
        

LinkedIn"
Creating Problem-Solving Agents using GenAI for Action Composition,"This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.","Introduction
                    
                    
                      



Overview- Count the Number of Agents
                    
                    
                      



A brief history of Agentic Systems
                    
                    
                      



Agents Today
                    
                    
                      



Multi-Agent Systems Today
                    
                    
                      



Practical Solutions","About the Instructor
Vikas Agrawal - Senior Principal Data Scientist at Oracle Analytics Cloud


          Vikas Agrawal is a Senior Principal Data Scientist at Oracle Analytics Cloud, focused on designing and deploying AI solutions across ERP, SCM, HCM, CX, and MFG for Fusion and NetSuite customers. He ensures that AI models are automatically generated, updated, and tailored to each customer's evolving data. His research involves developing intelligent agents that leverage domain knowledge to solve complex problems by combining tools and critiqued LLMs/LMMs for hypothesis generation and task orchestration. An electrical engineer turned computer scientist, Vikas is an IIT Delhi graduate with experience at CalTech, Intel, and Infosys.
        

LinkedIn","Creating Problem-Solving Agents using GenAI for Action Composition This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action. Introduction
                    
                    
                      



Overview- Count the Number of Agents
                    
                    
                      



A brief history of Agentic Systems
                    
                    
                      



Agents Today
                    
                    
                      



Multi-Agent Systems Today
                    
                    
                      



Practical Solutions About the Instructor
Vikas Agrawal - Senior Principal Data Scientist at Oracle Analytics Cloud


          Vikas Agrawal is a Senior Principal Data Scientist at Oracle Analytics Cloud, focused on designing and deploying AI solutions across ERP, SCM, HCM, CX, and MFG for Fusion and NetSuite customers. He ensures that AI models are automatically generated, updated, and tailored to each customer's evolving data. His research involves developing intelligent agents that leverage domain knowledge to solve complex problems by combining tools and critiqued LLMs/LMMs for hypothesis generation and task orchestration. An electrical engineer turned computer scientist, Vikas is an IIT Delhi graduate with experience at CalTech, Intel, and Infosys.
        

LinkedIn"
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.","Introduction to RAG Systems
                    
                    
                      



Resources
                    
                    
                      



RAG System Challenges Practical Solutions
                    
                    
                      



Hands-on: Solution for Missing Content in RAG
                    
                    
                      



Other Key Challenges
                    
                    
                      



Practical Solutions
                    
                    
                      



Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed
                    
                    
                      



Wrong Format Problem  Solution
                    
                    
                      



Hands-on: Solution for Wrong Format
                    
                    
                      



Incomplete Problem Solution
                    
                    
                      



HyDE
                    
                    
                      



Other Practical Solutions from recent Research Papers","About the Instructor
Dipanjan Sarkar - Head of Community and Principal AI Scientist, Analytics Vidhya 


          Dipanjan Sarkar is a distinguished Lead Data Scientist, Published Author, and Consultant, having a decade of extensive expertise in Machine Learning, Deep Learning, Generative AI, Computer Vision, and Natural Language Processing. His leadership spans Fortune 100 enterprises to startups, crafting end-to-end data products and pioneering Generative AI upskilling programs. A seasoned mentor, Dipanjan advises a diverse clientele, from novices to C-suite executives and PhDs, across Advanced Analytics, Product Development, and Artificial Intelligence. His recognitions include ""Top 10 Data Scientists in India, 2020,"" ""40 under 40 Data Scientists, 2021,"" ""Google Developer Expert in Machine Learning, 2019,"" and ""Top 50 AI Thought Leaders, Global AI Hub, 2022,"" alongside global accolades and a Google Champion Innovator title in Cloud AI/ML, 2022.
        

LinkedIn","Improving Real World RAG Systems: Key Challenges & Practical Solutions This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications. Introduction to RAG Systems
                    
                    
                      



Resources
                    
                    
                      



RAG System Challenges Practical Solutions
                    
                    
                      



Hands-on: Solution for Missing Content in RAG
                    
                    
                      



Other Key Challenges
                    
                    
                      



Practical Solutions
                    
                    
                      



Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed
                    
                    
                      



Wrong Format Problem  Solution
                    
                    
                      



Hands-on: Solution for Wrong Format
                    
                    
                      



Incomplete Problem Solution
                    
                    
                      



HyDE
                    
                    
                      



Other Practical Solutions from recent Research Papers About the Instructor
Dipanjan Sarkar - Head of Community and Principal AI Scientist, Analytics Vidhya 


          Dipanjan Sarkar is a distinguished Lead Data Scientist, Published Author, and Consultant, having a decade of extensive expertise in Machine Learning, Deep Learning, Generative AI, Computer Vision, and Natural Language Processing. His leadership spans Fortune 100 enterprises to startups, crafting end-to-end data products and pioneering Generative AI upskilling programs. A seasoned mentor, Dipanjan advises a diverse clientele, from novices to C-suite executives and PhDs, across Advanced Analytics, Product Development, and Artificial Intelligence. His recognitions include ""Top 10 Data Scientists in India, 2020,"" ""40 under 40 Data Scientists, 2021,"" ""Google Developer Expert in Machine Learning, 2019,"" and ""Top 50 AI Thought Leaders, Global AI Hub, 2022,"" alongside global accolades and a Google Champion Innovator title in Cloud AI/ML, 2022.
        

LinkedIn"
Framework to Choose the Right LLM for your Business,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.",Introduction,"About the Instructor
Rohan Rao - Principal Data Scientist, H2O.ai; Quadruple Kaggle Grandmaster


          A Principal Data Scientist at H2O.ai and an IIT-Bombay alumnus, is a highly accomplished professional. He is a quadruple Kaggle Grandmaster and was formerly ranked #1 on AnalyticsVidhya. In addition to his expertise in data science, Rohan is a 9-time National Sudoku Champion. A versatile individual, he is also a passionate coder, reader, writer, and lifelong learner, known in the community as ""vopani.""
        

LinkedIn","Framework to Choose the Right LLM for your Business This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively. Introduction About the Instructor
Rohan Rao - Principal Data Scientist, H2O.ai; Quadruple Kaggle Grandmaster


          A Principal Data Scientist at H2O.ai and an IIT-Bombay alumnus, is a highly accomplished professional. He is a quadruple Kaggle Grandmaster and was formerly ranked #1 on AnalyticsVidhya. In addition to his expertise in data science, Rohan is a 9-time National Sudoku Champion. A versatile individual, he is also a passionate coder, reader, writer, and lifelong learner, known in the community as ""vopani.""
        

LinkedIn"
Building Smarter LLMs with Mamba and State Space Model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.",Course Overview,"About the Instructor
Maarten Grootendorst - Senior Clinical Data Scientist, IKNL; Creator of KeyBERT and BERTopic


          Marteen holds three master’s degrees in Organizational, Clinical Psychology, and Data Science, using them to simplify machine learning for a broad audience. As co-author of Hands-On Large Language Models and through popular blogs, he’s reached millions by explaining AI, often from a psychological lens. He’s also the creator of widely-used open-source packages like BERTopic, PolyFuzz, and KeyBERT, which have millions of downloads and are utilized by data professionals globally.","Building Smarter LLMs with Mamba and State Space Model Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures. Course Overview About the Instructor
Maarten Grootendorst - Senior Clinical Data Scientist, IKNL; Creator of KeyBERT and BERTopic


          Marteen holds three master’s degrees in Organizational, Clinical Psychology, and Data Science, using them to simplify machine learning for a broad audience. As co-author of Hands-On Large Language Models and through popular blogs, he’s reached millions by explaining AI, often from a psychological lens. He’s also the creator of widely-used open-source packages like BERTopic, PolyFuzz, and KeyBERT, which have millions of downloads and are utilized by data professionals globally."
Generative AI - A Way of Life - Free Course,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.","Fundamentals of Generative AI
                    
                    
                      



What is Generative AI?
                    
                    
                      



How does Generative AI work?
                    
                    
                      



Exploring the Potential of Generative AI
                    
                    
                      



GenAI Pinnacle Program
                    
                    
                      



Hands On: Let’s get generating!",No instructor available,"Generative AI - A Way of Life - Free Course This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field. Fundamentals of Generative AI
                    
                    
                      



What is Generative AI?
                    
                    
                      



How does Generative AI work?
                    
                    
                      



Exploring the Potential of Generative AI
                    
                    
                      



GenAI Pinnacle Program
                    
                    
                      



Hands On: Let’s get generating! No instructor available"
